Temperature (C)	Pressure (bar)	Density (kg/m3)	Enthalpy (kJ/kg)	Viscosity (Pa*s)	Phase
28	65.000	219.42	408.21	1.9430E-5	vapor
28	68.918	289.11	381.20	2.2272E-5	vapor
28	68.918	655.28	289.62	5.0302E-5	liquid
28	70.000	671.97	286.51	5.2267E-5	liquid
28	75.000	712.77	278.97	5.7450E-5	liquid
28	80.000	736.53	274.66	6.0748E-5	liquid
28	85.000	754.15	271.54	6.3341E-5	liquid
28	90.000	768.41	269.08	6.5540E-5	liquid
28	95.000	780.51	267.03	6.7483E-5	liquid
28	100.000	791.08	265.28	6.9241E-5	liquid
28	105.000	800.51	263.76	7.0858E-5	liquid
28	110.000	809.05	262.42	7.2365E-5	liquid
28	115.000	816.87	261.22	7.3782E-5	liquid
28	120.000	824.09	260.13	7.5124E-5	liquid
28	125.000	830.81	259.15	7.6402E-5	liquid
28	130.000	837.11	258.25	7.7625E-5	liquid
28	135.000	843.04	257.42	7.8801E-5	liquid
28	140.000	848.65	256.66	7.9934E-5	liquid
28	145.000	853.97	255.96	8.1031E-5	liquid
28	150.000	859.04	255.31	8.2094E-5	liquid
28	155.000	863.89	254.70	8.3128E-5	liquid
28	160.000	868.53	254.13	8.4135E-5	liquid
28	165.000	872.98	253.60	8.5117E-5	liquid
28	170.000	877.27	253.11	8.6076E-5	liquid
28	175.000	881.40	252.64	8.7015E-5	liquid
28	180.000	885.38	252.21	8.7934E-5	liquid
28	185.000	889.24	251.80	8.8836E-5	liquid
28	190.000	892.98	251.41	8.9722E-5	liquid
28	195.000	896.60	251.05	9.0592E-5	liquid
28	200.000	900.11	250.71	9.1448E-5	liquid
					
29	65.000	212.39	412.42	1.9231E-5	vapor
29	70.000	290.29	382.41	2.2374E-5	vapor
29	70.509	312.03	374.61	2.3411E-5	vapor
29	70.509	629.36	296.07	4.7450E-5	liquid
29	75.000	690.38	284.62	5.4572E-5	liquid
29	80.000	720.29	279.11	5.8502E-5	liquid
29	85.000	740.76	275.43	6.1388E-5	liquid
29	90.000	756.75	272.62	6.3763E-5	liquid
29	95.000	770.05	270.33	6.5824E-5	liquid
29	100.000	781.50	268.41	6.7669E-5	liquid
29	105.000	791.62	266.74	6.9354E-5	liquid
29	110.000	800.72	265.29	7.0914E-5	liquid
29	115.000	808.99	263.99	7.2373E-5	liquid
29	120.000	816.61	262.83	7.3751E-5	liquid
29	125.000	823.67	261.78	7.5059E-5	liquid
29	130.000	830.26	260.82	7.6307E-5	liquid
29	135.000	836.44	259.94	7.7505E-5	liquid
29	140.000	842.28	259.13	7.8658E-5	liquid
29	145.000	847.80	258.38	7.9771E-5	liquid
29	150.000	853.06	257.69	8.0849E-5	liquid
29	155.000	858.07	257.05	8.1895E-5	liquid
29	160.000	862.86	256.45	8.2913E-5	liquid
29	165.000	867.46	255.89	8.3905E-5	liquid
29	170.000	871.87	255.37	8.4873E-5	liquid
29	175.000	876.12	254.88	8.5819E-5	liquid
29	180.000	880.22	254.42	8.6746E-5	liquid
29	185.000	884.18	253.99	8.7654E-5	liquid
29	190.000	888.01	253.59	8.8545E-5	liquid
29	195.000	891.72	253.21	8.9420E-5	liquid
29	200.000	895.32	252.85	9.0281E-5	liquid
					
30	65.000	206.44	416.16	1.9076E-5	vapor
30	70.000	266.56	392.71	2.1371E-5	vapor
30	72.137	345.10	365.13	2.5170E-5	vapor
30	72.137	593.31	304.55	4.3768E-5	liquid
30	75.000	661.10	291.65	5.1055E-5	liquid
30	80.000	701.72	284.04	5.6059E-5	liquid
30	85.000	726.15	279.57	5.9343E-5	liquid
30	90.000	744.31	276.32	6.1934E-5	liquid
30	95.000	759.02	273.75	6.4136E-5	liquid
30	100.000	771.50	271.62	6.6080E-5	liquid
30	105.000	782.39	269.80	6.7839E-5	liquid
30	110.000	792.10	268.21	6.9457E-5	liquid
30	115.000	800.89	266.82	7.0964E-5	liquid
30	120.000	808.93	265.57	7.2380E-5	liquid
30	125.000	816.35	264.44	7.3720E-5	liquid
30	130.000	823.25	263.41	7.4996E-5	liquid
30	135.000	829.71	262.48	7.6217E-5	liquid
30	140.000	835.79	261.62	7.7390E-5	liquid
30	145.000	841.53	260.83	7.8520E-5	liquid
30	150.000	846.98	260.10	7.9614E-5	liquid
30	155.000	852.17	259.42	8.0673E-5	liquid
30	160.000	857.12	258.79	8.1703E-5	liquid
30	165.000	861.86	258.20	8.2705E-5	liquid
30	170.000	866.41	257.65	8.3682E-5	liquid
30	175.000	870.79	257.14	8.4637E-5	liquid
30	180.000	875.00	256.65	8.5571E-5	liquid
30	185.000	879.07	256.20	8.6486E-5	liquid
30	190.000	883.00	255.78	8.7382E-5	liquid
30	195.000	886.81	255.38	8.8263E-5	liquid
30	200.000	890.50	255.00	8.9128E-5	liquid
					
31	65.000	201.27	419.56	1.8951E-5	vapor
31	70.000	252.22	399.57	2.0824E-5	vapor
31	75.000	614.17	302.21	4.5925E-5	supercritical
31	75.000	614.17	302.21	4.5925E-5	supercritical
31	75.000	614.17	302.21	4.5925E-5	vapor
31	80.000	679.73	289.66	5.3320E-5	supercritical
31	85.000	709.94	284.03	5.7174E-5	supercritical
31	90.000	730.91	280.22	6.0041E-5	supercritical
31	95.000	747.34	277.30	6.2410E-5	supercritical
31	100.000	761.01	274.93	6.4468E-5	supercritical
31	105.000	772.79	272.93	6.6311E-5	supercritical
31	110.000	783.19	271.21	6.7993E-5	supercritical
31	115.000	792.53	269.69	6.9552E-5	supercritical
31	120.000	801.04	268.35	7.1009E-5	supercritical
31	125.000	808.85	267.14	7.2384E-5	supercritical
31	130.000	816.09	266.05	7.3690E-5	supercritical
31	135.000	822.84	265.05	7.4935E-5	supercritical
31	140.000	829.18	264.14	7.6130E-5	supercritical
31	145.000	835.15	263.30	7.7279E-5	supercritical
31	150.000	840.81	262.53	7.8388E-5	supercritical
31	155.000	846.18	261.81	7.9462E-5	supercritical
31	160.000	851.30	261.15	8.0504E-5	supercritical
31	165.000	856.20	260.53	8.1517E-5	supercritical
31	170.000	860.89	259.95	8.2504E-5	supercritical
31	175.000	865.39	259.40	8.3468E-5	supercritical
31	180.000	869.73	258.90	8.4409E-5	supercritical
31	185.000	873.91	258.42	8.5330E-5	supercritical
31	190.000	877.94	257.97	8.6233E-5	supercritical
31	195.000	881.85	257.55	8.7119E-5	supercritical
31	200.000	885.63	257.16	8.7989E-5	supercritical
					
32	65.000	196.69	422.70	1.8849E-5	vapor
32	70.000	241.66	404.98	2.0453E-5	vapor
32	75.000	365.93	362.21	2.6429E-5	supercritical
32	75.000	365.93	362.21	2.6429E-5	supercritical
32	75.000	365.93	362.21	2.6429E-5	vapor
32	80.000	652.12	296.42	5.0097E-5	supercritical
32	85.000	691.62	288.94	5.4836E-5	supercritical
32	90.000	716.36	284.37	5.8066E-5	supercritical
32	95.000	734.91	281.02	6.0639E-5	supercritical
32	100.000	749.98	278.36	6.2830E-5	supercritical
32	105.000	762.78	276.15	6.4767E-5	supercritical
32	110.000	773.95	274.27	6.6522E-5	supercritical
32	115.000	783.91	272.63	6.8136E-5	supercritical
32	120.000	792.92	271.18	6.9639E-5	supercritical
32	125.000	801.16	269.88	7.1051E-5	supercritical
32	130.000	808.76	268.72	7.2388E-5	supercritical
32	135.000	815.83	267.66	7.3660E-5	supercritical
32	140.000	822.44	266.69	7.4877E-5	supercritical
32	145.000	828.66	265.80	7.6046E-5	supercritical
32	150.000	834.53	264.98	7.7172E-5	supercritical
32	155.000	840.10	264.22	7.8261E-5	supercritical
32	160.000	845.40	263.52	7.9316E-5	supercritical
32	165.000	850.45	262.86	8.0340E-5	supercritical
32	170.000	855.29	262.25	8.1338E-5	supercritical
32	175.000	859.93	261.69	8.2310E-5	supercritical
32	180.000	864.40	261.15	8.3260E-5	supercritical
32	185.000	868.69	260.65	8.4188E-5	supercritical
32	190.000	872.84	260.18	8.5097E-5	supercritical
32	195.000	876.84	259.74	8.5989E-5	supercritical
32	200.000	880.72	259.33	8.6863E-5	supercritical
					
33	65.000	192.56	425.63	1.8765E-5	vapor
33	70.000	233.22	409.58	2.0178E-5	vapor
33	75.000	311.47	381.36	2.3576E-5	supercritical
33	75.000	311.47	381.36	2.3576E-5	supercritical
33	75.000	311.47	381.36	2.3576E-5	vapor
33	80.000	613.68	305.44	4.5958E-5	supercritical
33	85.000	670.35	294.46	5.2262E-5	supercritical
33	90.000	700.34	288.82	5.5986E-5	supercritical
33	95.000	721.59	284.92	5.8811E-5	supercritical
33	100.000	738.34	281.92	6.1159E-5	supercritical
33	105.000	752.30	279.47	6.3205E-5	supercritical
33	110.000	764.36	277.41	6.5039E-5	supercritical
33	115.000	775.00	275.62	6.6715E-5	supercritical
33	120.000	784.57	274.06	6.8267E-5	supercritical
33	125.000	793.27	272.67	6.9720E-5	supercritical
33	130.000	801.26	271.42	7.1090E-5	supercritical
33	135.000	808.66	270.29	7.2390E-5	supercritical
33	140.000	815.57	269.26	7.3631E-5	supercritical
33	145.000	822.05	268.32	7.4821E-5	supercritical
33	150.000	828.15	267.45	7.5965E-5	supercritical
33	155.000	833.93	266.65	7.7069E-5	supercritical
33	160.000	839.41	265.91	7.8138E-5	supercritical
33	165.000	844.64	265.22	7.9175E-5	supercritical
33	170.000	849.63	264.58	8.0183E-5	supercritical
33	175.000	854.41	263.98	8.1165E-5	supercritical
33	180.000	859.00	263.42	8.2122E-5	supercritical
33	185.000	863.42	262.89	8.3058E-5	supercritical
33	190.000	867.68	262.40	8.3974E-5	supercritical
33	195.000	871.79	261.94	8.4872E-5	supercritical
33	200.000	875.76	261.50	8.5752E-5	supercritical
					
34	65.000	188.82	428.40	1.8695E-5	vapor
34	70.000	226.16	413.63	1.9964E-5	vapor
34	75.000	288.30	390.82	2.2524E-5	supercritical
34	75.000	288.30	390.82	2.2524E-5	supercritical
34	75.000	288.30	390.82	2.2524E-5	vapor
34	80.000	546.47	320.69	3.9561E-5	supercritical
34	85.000	644.70	300.90	4.9339E-5	supercritical
34	90.000	682.47	293.67	5.3768E-5	supercritical
34	95.000	707.20	289.05	5.6914E-5	supercritical
34	100.000	725.98	285.63	5.9449E-5	supercritical
34	105.000	741.32	282.90	6.1620E-5	supercritical
34	110.000	754.37	280.63	6.3543E-5	supercritical
34	115.000	765.78	278.69	6.5287E-5	supercritical
34	120.000	775.96	277.00	6.6893E-5	supercritical
34	125.000	785.16	275.50	6.8389E-5	supercritical
34	130.000	793.58	274.17	6.9795E-5	supercritical
34	135.000	801.34	272.96	7.1126E-5	supercritical
34	140.000	808.56	271.87	7.2392E-5	supercritical
34	145.000	815.31	270.87	7.3603E-5	supercritical
34	150.000	821.66	269.95	7.4767E-5	supercritical
34	155.000	827.65	269.10	7.5887E-5	supercritical
34	160.000	833.34	268.32	7.6971E-5	supercritical
34	165.000	838.74	267.60	7.8020E-5	supercritical
34	170.000	843.89	266.92	7.9039E-5	supercritical
34	175.000	848.83	266.29	8.0031E-5	supercritical
34	180.000	853.55	265.70	8.0997E-5	supercritical
34	185.000	858.10	265.15	8.1941E-5	supercritical
34	190.000	862.47	264.63	8.2864E-5	supercritical
34	195.000	866.69	264.15	8.3767E-5	supercritical
34	200.000	870.77	263.69	8.4653E-5	supercritical
